ident,type,name,iata,icao,iso_country,municipality,lat,lng
FMST,medium_airport,Toliara Airport,TLE,FMST,MG,Toliara,-23.3834,43.7285
FMNT,small_airport,Tsaratanana Airport,TTS,FMNT,MG,Tsaratanana,-16.75106,47.61902
TZO,small_airport,Tsimiroro Airport,TZO,TZO,MG,Ankisatra,-18.34506,45.01564
FMMX,small_airport,Tsiroanomandidy Airport,WTS,FMMX,MG,Tsiroanomandidy,-18.75968,46.05407
FMSD,medium_airport,Tôlanaro Airport,FTU,FMSD,MG,Tôlanaro,-25.0381,46.9561
FMSU,small_airport,Vangaindrano Airport,VND,FMSU,MG,Vangaindrano,-23.35077,47.5817
FMMY,small_airport,Vatomandry Airport,VAT,FMMY,MG,Vatomandry,-19.38333,48.95
FMNV,medium_airport,Vohemar Airport,VOH,FMNV,MG,Vohemar,-13.3758,50.0028
AIP,small_airport,Ailinglaplap Airok Airport,AIC,AIP,MH,Bigatyelang Island,7.27942,168.8257
MH-AIM,small_airport,Ailuk Airport,AIM,MH-AIM,MH,Ailuk Island,10.2168,169.983
MH-AUL,small_airport,Aur Island Airport,AUL,MH-AUL,MH,Aur Atoll,8.14528,171.173
MH-BII,small_airport,Bikini Atoll Airport,BII,MH-BII,MH,Bikini Atoll,11.5225,165.56513
PKWA,medium_airport,Bucholz Army Air Field,KWA,PKWA,MH,Kwajalein,8.72012,167.73199
MH-EBN,small_airport,Ebadon Airport,EBN,MH-EBN,MH,Ebadon Island,9.33056,166.82001
EBO,small_airport,Ebon Airport,EBO,EBO,MH,Ebon Atoll,4.5982,168.752
EAL,small_airport,Elenak Airport,EAL,EAL,MH,Mejato Island,9.31931,166.84778
EJT,small_airport,Enejit Airport,EJT,EJT,MH,Enejit Island,6.0404,171.9846
PKMA,small_airport,Eniwetok Airport,ENT,PKMA,MH,Eniwetok Atoll,11.3407,162.328
N20,small_airport,Ine Airport,IMI,N20,MH,Arno Atoll,7.00555,171.65696
MH-JAT,small_airport,Jabot Airport,JAT,MH-JAT,MH,Ailinglapalap Atoll,7.74977,168.97784
MH-UIT,small_airport,Jaluit Airport,UIT,N55,MH,Jabor Jaluit Atoll,5.90921,169.63726
MH-JEJ,small_airport,Jeh Airport,JEJ,MH-JEJ,MH,Ailinglapalap Atoll,7.56535,168.96201
KBT,small_airport,Kaben Airport,KBT,KBT,MH,Kaben,8.90056,170.84399
Q51,small_airport,Kili Airport,KIO,C51,MH,Kili Island,5.64386,169.12459
MH-LML,small_airport,Lae Island Airport,LML,MH-LML,MH,Lae Island,8.92111,166.265
MH-LIK,small_airport,Likiep Airport,LIK,MH-LIK,MH,Likiep Island,9.82316,169.308
MH-MJE,small_airport,Majkin Airport,MJE,MH-MJE,MH,Majkin,8.16336,168.17386
MH-MAV,small_airport,Maloelap Island Airport,MAV,3N1,MH,Maloelap Island,8.70444,171.23
PKMJ,large_airport,Marshall Islands International Airport,MAJ,PKMJ,MH,Majuro Atoll,7.06511,171.27166
MH-MJB,small_airport,Mejit Atoll Airport,MJB,C30,MH,Mejit Atoll,10.2833,170.869
MLIP,small_airport,Mili Island Airport,MIJ,1Q9,MH,Mili Island,6.08475,171.73142
MH-NDK,small_airport,Namorik Airport,NDK,3N0,MH,Namorik Atoll,5.633,168.12563
MH-RNP,small_airport,Rongelap Island Airport,RNP,MH-RNP,MH,Rongelap Island,11.1572,166.88699
TBV,small_airport,Tabal Airstrip,TBV,TBV,MH,Tabal Island,8.3027,171.1615
